target_frequency,time_to_recover_ideal_s,time_to_recover_s,best_match_r
1,NaN,NaN,0.00245977225192454
2,NaN,NaN,0.254215788526247
5,NaN,NaN,0.719585723960631
7,0.19,0.19,0.840129876759412
10,0.14,0.16,0.891257958246065
14,0.1,0.1,0.953123790407273
20,0.07,0.08,1.01753717338421
40,0.05,0.05,1.0097084948521
50,0.05,0.04,1.00812022162881
80,0.04,0.03,1.003061270166
100,0.03,0.02,1.0014965447149
140,0.01,0.02,1.00031695576125
200,0.01,0.01,1.00002749190771
