target_frequency,time_to_recover_ideal_s,time_to_recover_s,best_match_r
1,NaN,NaN,-0.0121964300687951
2,NaN,NaN,0.0311027080730564
5,NaN,NaN,0.446350788637535
7,NaN,NaN,0.530554634287979
10,NaN,NaN,0.740784102400355
14,0.17,0.17,0.867869380328709
20,0.12,0.12,0.970297335886016
40,0.06,0.06,1.02530062314801
50,0.05,0.05,1.0216351038755
80,0.04,0.04,1.07355680615695
100,0.04,0.03,1.05618333342837
140,0.03,0.02,1.0562441472049
200,0.02,0.02,1.02670191393275
