target_frequency,time_to_recover_ideal_s,time_to_recover_s,best_match_r
1,0.09,0.09,1.00125416260235
2,0.08,0.08,1.00014699623919
5,0.06,0.06,1.00284101023605
7,0.07,0.1,1.00337257069392
10,0.09,0.09,1.00515684766638
14,0.09,0.08,0.998825926973231
20,0.09,0.09,1.01004031664758
40,0.09,0.09,1.00154566606822
50,0.09,0.09,1.00225079800958
80,0.08,0.09,1.00208767378328
100,0.09,0.09,1.00233859954495
140,0.09,0.09,1.00262321817574
200,0.09,0.09,1.00232167399544
